2016-12-19 23:41:12,163 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4b890d48: defining beans [loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-19 23:41:12,590 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 858 ms
2016-12-19 23:41:12,607 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization started
2016-12-19 23:41:12,611 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Mon Dec 19 23:41:12 CST 2016]; parent: Root WebApplicationContext
2016-12-19 23:41:12,613 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/baobaotao-servlet.xml]
2016-12-19 23:41:12,633 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:41:12,652 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6594ed01: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@4b890d48
2016-12-19 23:41:12,854 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.create] onto handler 'loginController'
2016-12-19 23:41:12,854 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/my_login_register.create] onto handler 'loginController'
2016-12-19 23:41:12,854 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/registerProcess.create] onto handler 'loginController'
2016-12-19 23:41:12,854 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/loginCheck.create] onto handler 'loginController'
2016-12-19 23:41:12,854 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/register.create] onto handler 'loginController'
2016-12-19 23:41:12,949 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization completed in 342 ms
2016-12-19 23:41:44,093 INFO  support.XmlWebApplicationContext - Closing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Mon Dec 19 23:41:12 CST 2016]; parent: Root WebApplicationContext
2016-12-19 23:41:44,093 INFO  support.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6594ed01: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@4b890d48
2016-12-19 23:41:44,094 INFO  support.XmlWebApplicationContext - Closing Root WebApplicationContext: startup date [Mon Dec 19 23:41:11 CST 2016]; root of context hierarchy
2016-12-19 23:41:44,094 INFO  support.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4b890d48: defining beans [loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-19 23:41:45,255 INFO  context.ContextLoader - Root WebApplicationContext: initialization started
2016-12-19 23:41:45,334 INFO  support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Dec 19 23:41:45 CST 2016]; root of context hierarchy
2016-12-19 23:41:45,401 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2016-12-19 23:41:45,463 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:41:45,515 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:41:45,685 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6618327c: defining beans [loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-19 23:41:46,117 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 861 ms
2016-12-19 23:41:46,133 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization started
2016-12-19 23:41:46,137 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Mon Dec 19 23:41:46 CST 2016]; parent: Root WebApplicationContext
